"ptt","MaxDepth_Morning","MaxDepth_Night","MinDepth_Morning","MinDepth_Night","Temp_Morning","Temp_Night"
"157560","468.09 ± 8.307","510.071 ± 7.97","3.899 ± 0.068","4.023 ± 0.062","23.637 ± 0.111","23.471 ± 0.121"
"157561","568.185 ± 8.238","626.812 ± 7.671","4.336 ± 0.078","5.226 ± 0.066","22.125 ± 0.154","21.516 ± 0.175"
"157562","267.014 ± 6.08","241.005 ± 6.038","2.331 ± 0.05","2.395 ± 0.046","23.096 ± 0.12","23.813 ± 0.088"
"157566","567.954 ± 6.094","675.711 ± 4.336","4.736 ± 0.042","5.635 ± 0.035","21.951 ± 0.094","21.328 ± 0.105"
"157567","656.1 ± 3.526","703.889 ± 2.744","5.683 ± 0.042","5.529 ± 0.03","22.671 ± 0.072","22.742 ± 0.071"
"157568","500.909 ± 6.609","692.359 ± 6.04","4.043 ± 0.056","4.389 ± 0.055","21.617 ± 0.102","21.062 ± 0.122"
"174048","310.646 ± 4.604","446.084 ± 3.992","2.388 ± 0.043","2.717 ± 0.046","NA ± NA","NA ± NA"
"174049","502.438 ± 3.837","522.712 ± 3.559","3.301 ± 0.035","3.541 ± 0.034","NA ± NA","NA ± NA"
"174050","571.791 ± 3.275","587.699 ± 2.959","4.955 ± 0.036","4.696 ± 0.034","NA ± NA","NA ± NA"
"174051","553.444 ± 4.238","600.299 ± 4.182","4.884 ± 0.058","5.769 ± 0.051","NA ± NA","NA ± NA"
"178974","621.389 ± 5.151","694.766 ± 3.914","1.726 ± 0.075","1.326 ± 0.06","23.148 ± 0.146","22.831 ± 0.148"
